date,open,high,low,close,adj close,volume
1999-12-31,109.1875,109.5,106.625,107.875,79.187996,2870300
2000-01-03,112.4375,116.0,111.875,116.0,85.152336,10347700
2000-01-04,114.0,114.5,110.875,112.0625,82.26191700000001,8227800
2000-01-05,112.9375,119.75,112.125,116.0,85.152336,12733200
2000-01-06,118.0,118.9375,113.5,114.0,83.68418100000001,7971900
2000-01-07,117.25,117.9375,110.625,113.5,83.317116,11856700
2000-01-10,117.25,119.375,115.375,118.0,86.620468,8540500
2000-01-11,117.875,121.125,116.625,119.0,87.354546,7873300
2000-01-12,119.625,122.0,118.25,119.5,87.721558,6803800
2000-01-13,119.9375,121.0,115.75,118.25,86.803993,8489700
2000-01-14,120.9375,123.3125,117.5,119.625,87.81333199999999,10956600
2000-01-18,119.6875,119.75,115.0,115.75,84.968796,7643900
2000-01-19,115.5625,122.0,112.6875,119.5,87.721558,8634500
2000-01-20,123.0,124.75,119.0,119.0,87.354546,17783400
2000-01-21,121.875,123.0,119.9375,121.5,89.189728,7868700
2000-01-24,121.875,122.875,116.5625,121.5,89.189728,6499200
2000-01-25,116.75,119.5,116.0,119.125,87.446281,6936900
2000-01-26,119.0625,119.9375,116.0,116.75,85.702881,4895100
2000-01-27,118.0,118.4375,111.625,113.5,83.317116,8324600
2000-01-28,112.75,114.1875,110.0625,111.5625,81.894882,6669400
2000-01-31,111.375,112.8125,109.625,112.25,82.39954399999999,6202700
2000-02-01,112.375,113.4375,109.125,110.0,80.74789399999999,7304700
2000-02-02,112.0,115.8125,110.375,113.5,83.317116,7707700
2000-02-03,115.0,117.5,114.0625,117.125,85.978111,6213800
2000-02-04,118.1875,118.4375,114.8125,115.625,84.877052,5405300
2000-02-07,116.0,116.875,113.125,114.125,83.775932,5779500
2000-02-08,116.9375,119.0,116.1875,118.8125,87.308701,5464300
2000-02-09,119.0,119.75,117.0,117.375,86.25235699999999,5374700
2000-02-10,117.6875,119.125,116.875,119.125,87.53833,4446600
2000-02-11,119.0625,119.4375,114.5625,115.375,84.78265400000001,5749400
2000-02-14,116.0,116.375,114.5,116.0625,85.287849,4544000
2000-02-15,115.875,117.4375,113.875,117.125,86.068619,5177500
2000-02-16,116.5,117.3125,115.25,115.75,85.058228,3966900
2000-02-17,116.5,118.875,115.75,116.75,85.793076,5237500
2000-02-18,115.25,115.9375,111.5,112.5,82.669975,7673400
2000-02-22,112.0,113.4375,108.75,111.0,81.567734,7654800
2000-02-23,110.5,110.5,108.5,108.75,79.914322,7435300
2000-02-24,108.8125,111.0,108.1875,110.5,81.200294,9112000
2000-02-25,109.875,109.875,104.9375,108.0,79.363174,10312200
2000-02-28,104.625,106.5,103.9375,104.5,76.791229,8479900
2000-02-29,105.5625,105.5625,100.9375,102.75,75.505264,10484900
2000-03-01,102.0,105.5,100.0625,100.25,73.668121,10807800
2000-03-02,100.5,105.4375,99.5,103.125,75.780846,11192900
2000-03-03,107.25,110.0,106.0625,108.0,79.363174,10162800
2000-03-06,109.9375,111.0,101.0,103.0625,75.734886,10747400
2000-03-07,106.0,107.0,101.6875,103.0,75.68897199999999,10035100
2000-03-08,103.0,106.875,102.75,106.25,78.077225,8376400
2000-03-09,106.5,108.0,104.125,108.0,79.363174,6334100
2000-03-10,107.625,109.0,105.0,105.25,77.342392,7093200
2000-03-13,104.0,109.0,102.5,107.6875,79.13353000000001,7871000
2000-03-14,107.75,110.0,107.375,108.625,79.822456,7973700
2000-03-15,107.5,108.25,106.125,107.0,78.628349,5665900
2000-03-16,109.0,109.8125,107.875,109.0,80.098038,6622500
2000-03-17,108.25,111.6875,107.6875,110.0,80.832848,8857300
2000-03-20,110.0,113.375,109.9375,112.75,82.853699,6563500
2000-03-21,112.8125,114.6875,111.9375,113.5,83.404816,6771600
2000-03-22,114.5,115.375,113.875,114.25,83.955978,6137800
2000-03-23,115.875,115.875,111.625,115.25,84.690758,6492400
2000-03-24,115.375,122.25,115.0625,120.625,88.640579,12125600
2000-03-27,125.0,128.25,124.625,126.875,93.233376,11862900
2000-03-28,125.75,127.0,122.0625,122.5,90.018417,8149600
2000-03-29,122.3125,122.4375,118.5,119.0,87.44648000000001,7312300
2000-03-30,118.875,123.0,118.6875,122.75,90.202156,9158000
2000-03-31,122.625,123.75,117.0625,118.375,86.98719,8015200
2000-04-03,120.0,122.375,119.4375,122.0,89.65102399999999,7715600
2000-04-04,121.5,126.9375,115.0625,121.1875,89.053955,16667200
2000-04-05,120.5,125.75,119.75,125.0,91.85556,8693500
2000-04-06,123.5,128.0,122.625,122.75,90.202156,8887400
2000-04-07,123.5,125.6875,121.5,123.125,90.477707,5380300
2000-04-10,124.75,125.375,121.5625,122.125,89.742874,5507300
2000-04-11,121.625,121.625,117.8125,119.375,87.72206899999999,7738700
2000-04-12,119.625,119.625,111.6875,113.75,83.588516,8885200
2000-04-13,112.5,114.3125,110.0,110.625,81.292137,8236400
2000-04-14,109.8125,112.75,102.875,105.0,77.158661,11782000
2000-04-17,103.875,112.25,103.3125,111.875,82.210701,9969500
2000-04-18,112.25,115.125,110.0625,111.5,81.93514300000001,8205500
2000-04-19,109.75,109.75,102.8125,105.0,77.158661,14674500
2000-04-20,105.0,105.25,102.0625,104.0,76.423828,10633300
2000-04-24,102.0,107.1875,101.25,106.5,78.260925,8523100
2000-04-25,106.5,113.0,106.4375,112.5,82.669975,9576400
2000-04-26,112.5,113.9375,109.0,110.5,81.200294,6182800
2000-04-27,109.5,113.125,108.6875,110.625,81.292137,6317500
2000-04-28,112.0,112.6875,110.125,111.5,81.93514300000001,4888600
2000-05-01,112.5,113.1875,110.4375,112.0,82.302559,4196100
2000-05-02,111.0,113.625,110.6875,111.375,81.84326899999999,4085000
2000-05-03,110.5,111.125,106.5625,108.125,79.455048,5543800
2000-05-04,109.125,109.1875,107.1875,107.625,79.087639,3631300
2000-05-05,106.625,109.625,106.5,107.875,79.271332,4695100
2000-05-08,108.0625,110.375,107.625,109.75,80.746483,4826900
2000-05-09,110.5,110.625,108.25,109.0,80.194664,4864900
2000-05-10,105.5,105.6875,102.0625,103.0,75.78029599999999,10012700
2000-05-11,104.0,107.5,103.1875,104.4375,76.837929,8106200
2000-05-12,103.75,105.75,103.25,104.4375,76.837929,5599700
2000-05-15,104.0,104.875,102.0,104.1875,76.653954,5907800
2000-05-16,105.125,109.25,105.0,109.0,80.194664,7265800
2000-05-17,107.5,108.875,106.125,107.875,79.366997,5524500
2000-05-18,106.125,107.3125,104.6875,106.0625,78.033478,4577200
2000-05-19,106.0625,107.5,105.0,106.4375,78.30933399999999,6419200
2000-05-22,106.0,109.25,103.4375,109.25,80.378647,6769400
2000-05-23,109.0,110.0,107.125,107.375,78.999146,5978900
2000-05-24,106.5,110.0,104.1875,109.625,80.654495,8184200
2000-05-25,110.5,112.25,106.375,106.5,78.355362,5967600
2000-05-26,105.5,107.1875,104.5625,106.9375,78.677231,4296900
2000-05-30,107.75,111.0,107.6875,110.9375,81.620163,3617500
2000-05-31,110.5,110.75,107.1875,107.3125,78.95314,3732500
2000-06-01,107.5625,108.9375,105.5,106.0,77.987488,5712500
2000-06-02,109.0,109.75,107.625,108.8125,80.056763,5473300
2000-06-05,108.4375,114.1875,108.4375,112.8125,82.999664,7281400
2000-06-06,112.25,114.625,111.25,112.375,82.67776500000001,5369400
2000-06-07,112.5,121.75,111.5,121.0,89.023453,11115500
2000-06-08,119.375,122.3125,117.5,119.75,88.103767,9325600
2000-06-09,119.875,120.75,118.875,119.6875,88.0578,4739100
2000-06-12,119.125,120.4375,118.84369699999999,118.84369699999999,87.436996,3640300
2000-06-13,118.875,119.9375,116.75,119.3125,87.781891,4008600
2000-06-14,118.875,120.0,115.5,116.0,85.34478,5282600
2000-06-15,116.0,119.0,115.875,116.8125,85.94255799999999,5386300
2000-06-16,116.3125,117.6875,113.25,113.25,83.321541,8046200
2000-06-19,113.5,120.375,113.25,120.375,88.563599,6059200
2000-06-20,120.0,120.6875,115.375,116.375,85.62068199999999,7103800
2000-06-21,115.5625,115.9375,113.5,114.5,84.241203,6487000
2000-06-22,114.125,114.3125,111.25,111.8125,82.26391600000001,4853100
2000-06-23,113.5,113.625,110.8125,111.875,82.30989100000001,3360900
2000-06-26,113.0,115.75,112.875,114.40619699999999,84.172188,3625900
2000-06-27,111.625,112.8125,108.75,109.75,80.746483,6607900
2000-06-28,110.0,115.1875,109.875,113.78119699999999,83.712379,6436600
2000-06-29,111.75,114.375,110.0625,114.0,83.873352,7688500
2000-06-30,112.6875,113.1875,108.625,109.5625,80.608521,8612600
2000-07-03,108.75,109.875,108.3125,109.5,80.56255300000001,2304400
2000-07-05,105.625,105.625,101.125,105.0,77.251747,14339600
2000-07-06,105.0,105.125,100.0,101.25,74.492775,12932700
2000-07-07,102.6875,105.0625,101.625,105.0625,77.297729,9031700
2000-07-10,104.6875,104.9375,102.875,103.3125,76.010216,4212200
2000-07-11,103.25,104.0,101.0,102.0,75.044579,5619800
2000-07-12,103.1875,105.875,102.625,104.625,76.975838,5550500
2000-07-13,105.4375,105.9375,102.0,104.0,76.51602199999999,5669700
2000-07-14,103.75,104.875,103.125,103.9375,76.470062,4020000
2000-07-17,104.4375,107.875,104.1875,105.5,77.619621,6632700
2000-07-18,104.125,104.8125,102.625,103.3125,76.010216,6452700
2000-07-19,102.375,109.5,101.0,108.75,80.010735,7781400
2000-07-20,112.0,117.8125,111.75,117.25,86.26445799999999,23048400
2000-07-21,117.0,117.0,113.75,114.75,84.425125,8966400
2000-07-24,114.125,115.625,111.625,112.5,82.769737,6814400
2000-07-25,113.25,113.375,110.25,112.0,82.401863,5566900
2000-07-26,111.0,112.375,108.875,109.875,80.83844,6670400
2000-07-27,109.875,111.5,109.3125,110.3125,81.160332,4047400
2000-07-28,111.125,112.5,108.875,111.8125,82.26391600000001,5355600
2000-07-31,110.5,113.6875,110.0625,112.25,82.585785,5113500
2000-08-01,112.0,112.4375,110.25,110.5,81.298294,2996500
2000-08-02,111.0,114.875,110.75,114.25,84.057266,5877900
2000-08-03,113.0,116.5,112.3125,116.0,85.34478,5567400
2000-08-04,116.0,116.5,114.3125,115.875,85.25282299999999,4460500
2000-08-07,116.625,119.0,115.8125,116.3125,85.57468399999999,5910700
2000-08-08,115.6875,119.625,115.5625,118.875,87.557884,5736700
2000-08-09,119.0,120.8125,118.75,118.75,87.465813,6585400
2000-08-10,118.75,120.25,117.875,119.75,88.202377,5484100
2000-08-11,119.75,121.8125,119.1875,120.625,88.84687,6142400
2000-08-14,120.0,123.6875,119.3125,123.25,90.780304,4949400
2000-08-15,122.0625,122.625,120.75,122.0,89.859573,4378100
2000-08-16,121.0625,122.9375,119.5,122.375,90.135826,5946000
